MONTH,DAY,YR,HR,MIN,DRAW,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20,PLUS
01,22,25,19,15,429123,12,13,17,20,21,23,27,32,34,35,36,37,42,44,45,65,71,73,74,80,3
01,22,25,19,10,429122,02,09,21,22,29,39,40,41,43,44,49,52,53,58,59,60,61,62,63,66,1
01,22,25,19,05,429121,02,09,14,17,23,24,26,29,31,33,34,48,51,53,57,59,66,69,78,79,1
01,22,25,19,00,429120,05,11,17,19,20,34,36,40,43,48,51,55,58,64,66,69,71,74,77,80,1
01,22,25,18,55,429119,06,07,13,15,17,19,29,32,35,40,45,48,52,63,68,69,70,73,76,77,1
01,22,25,18,50,429118,04,06,11,12,15,18,37,38,41,43,49,51,52,53,60,63,69,71,74,78,1
01,22,25,18,45,429117,02,05,08,10,12,22,23,24,29,30,32,34,46,51,52,58,59,66,69,74,1
01,22,25,18,40,429116,03,08,14,15,16,20,26,34,35,48,51,53,54,63,65,68,72,73,79,80,3
01,22,25,18,35,429115,03,04,06,08,14,15,16,18,19,23,30,32,36,41,48,54,67,75,76,78,1
01,22,25,18,30,429114,04,09,10,11,13,15,16,22,25,37,38,42,48,50,56,63,66,71,78,80,1
01,22,25,18,25,429113,01,04,11,15,22,23,25,27,28,31,36,46,47,48,51,53,59,63,71,79,3
01,22,25,18,20,429112,04,07,08,13,17,21,23,26,27,30,38,39,52,56,57,65,74,77,78,80,3
01,22,25,18,15,429111,03,24,27,31,32,33,43,50,51,55,56,58,61,65,68,73,74,77,78,79,3
01,22,25,18,10,429110,02,04,07,10,16,20,21,23,28,31,38,44,50,52,53,60,61,63,69,80,4
01,22,25,18,05,429109,05,08,09,10,13,14,15,22,29,34,36,44,54,58,62,68,70,74,76,80,1
01,22,25,18,00,429108,05,08,14,20,21,32,35,38,41,43,50,51,53,62,71,73,74,75,76,77,4
01,22,25,17,55,429107,01,04,05,08,11,24,25,27,36,39,40,43,45,51,53,58,67,73,75,80,3
01,22,25,17,50,429106,02,14,23,27,32,33,36,37,38,42,43,49,52,57,60,61,62,63,67,80,1
01,22,25,17,45,429105,04,06,11,14,18,19,20,21,23,30,33,39,40,50,56,63,66,70,71,78,1
01,22,25,17,40,429104,01,02,08,13,18,19,25,26,28,39,40,48,49,52,58,61,63,64,66,67,1
01,22,25,17,35,429103,09,11,13,16,22,24,27,28,30,33,36,42,49,51,53,61,64,65,71,74,1
01,22,25,17,30,429102,02,05,08,09,13,17,19,21,23,25,33,34,39,43,45,47,54,60,62,70,1
01,22,25,17,25,429101,04,07,10,12,17,31,37,39,44,46,48,49,53,58,60,62,63,72,73,80,3
01,22,25,17,20,429100,16,18,22,23,24,30,31,36,43,47,48,49,50,54,63,70,71,73,74,78,3
01,22,25,17,15,429099,01,02,03,06,07,13,14,23,27,33,42,47,48,53,56,62,65,69,76,79,3
01,22,25,17,10,429098,01,03,04,06,11,18,23,30,32,39,41,43,44,52,57,58,60,66,76,77,1
01,22,25,17,05,429097,06,08,16,21,25,40,42,49,50,52,57,62,63,64,65,68,70,71,75,76,3
01,22,25,17,00,429096,05,07,14,15,16,17,27,28,30,31,38,41,44,55,59,60,61,69,71,72,3
01,22,25,16,55,429095,01,02,04,08,09,15,29,35,36,37,38,44,49,52,53,55,69,70,71,76,1
01,22,25,16,50,429094,01,03,04,10,11,16,19,23,29,31,34,37,44,46,56,59,66,72,77,80,1
01,22,25,16,45,429093,10,15,18,19,20,25,30,39,42,43,47,49,60,68,69,70,73,75,76,79,4
01,22,25,16,40,429092,02,04,06,10,15,16,18,20,25,28,31,44,46,49,51,59,62,69,71,75,1
01,22,25,16,35,429091,01,04,05,07,12,16,18,24,26,39,41,43,55,57,61,69,70,71,79,80,1
01,22,25,16,30,429090,05,08,09,12,13,15,18,29,30,36,42,46,47,53,57,64,68,71,74,79,1
01,22,25,16,25,429089,09,14,20,24,28,29,31,36,38,39,43,57,58,61,62,65,67,72,74,76,1
01,22,25,16,20,429088,07,10,17,20,22,23,26,30,31,34,35,38,42,45,54,55,63,64,73,75,3
01,22,25,16,15,429087,01,11,12,15,16,18,21,22,23,34,35,36,39,45,47,55,60,68,77,79,1
01,22,25,16,10,429086,07,08,11,16,24,27,29,36,39,41,45,47,48,49,52,62,63,65,69,77,1
01,22,25,16,05,429085,01,02,14,17,28,43,46,55,56,57,58,60,62,65,69,74,77,78,79,80,1
01,22,25,16,00,429084,06,07,08,10,12,13,16,25,26,30,34,39,41,45,46,54,58,74,76,79,3
01,22,25,15,55,429083,02,05,08,09,16,25,32,37,38,43,45,46,58,66,69,70,72,73,77,80,1
01,22,25,15,50,429082,06,08,10,11,16,18,22,31,34,35,39,46,48,52,57,58,60,71,74,78,3
01,22,25,15,45,429081,02,05,11,12,13,30,31,38,47,49,59,61,64,65,67,72,73,75,77,78,3
01,22,25,15,40,429080,04,06,09,12,16,19,24,25,29,30,35,39,40,46,48,50,62,63,77,80,1
01,22,25,15,35,429079,05,08,11,13,16,17,26,29,31,36,44,46,52,56,59,61,68,73,76,79,3
01,22,25,15,30,429078,10,11,17,19,20,22,28,29,32,33,34,35,44,46,53,56,57,62,66,74,1
01,22,25,15,25,429077,01,11,14,15,16,20,23,29,38,42,45,46,50,51,58,63,68,71,78,80,3
01,22,25,15,20,429076,02,07,16,19,20,21,23,27,42,46,50,54,56,57,60,62,64,68,72,79,1
01,22,25,15,15,429075,03,06,07,08,11,14,20,21,24,25,28,36,40,43,54,57,58,59,68,71,1
01,22,25,15,10,429074,08,10,12,15,16,18,20,24,28,33,38,42,45,53,56,60,62,70,72,75,3
01,22,25,15,05,429073,01,02,09,17,20,21,22,25,26,34,36,38,39,44,51,53,57,58,69,72,4
01,22,25,15,00,429072,01,02,03,04,07,14,25,26,28,33,34,51,53,58,59,64,68,72,77,79,3
01,22,25,14,55,429071,05,06,09,10,11,22,26,27,29,33,38,45,49,54,55,58,68,71,76,79,1
01,22,25,14,50,429070,02,03,05,06,10,12,15,19,25,27,28,31,33,34,43,44,46,55,66,78,5
01,22,25,14,45,429069,08,09,10,13,20,23,29,30,39,48,50,55,56,58,60,62,64,66,67,72,1
01,22,25,14,40,429068,04,08,09,10,24,30,32,33,34,35,38,40,45,46,48,52,53,63,75,76,1
01,22,25,14,35,429067,14,15,16,17,21,22,23,38,40,44,45,49,52,53,57,61,63,64,69,73,1
01,22,25,14,30,429066,08,15,20,25,31,41,47,51,52,56,58,59,61,64,66,67,68,71,72,76,3
01,22,25,14,25,429065,02,05,07,08,14,17,19,20,21,23,25,37,41,58,62,64,68,70,75,78,3
01,22,25,14,20,429064,05,15,16,19,21,22,23,31,36,43,48,52,57,59,63,64,70,71,77,80,1
01,22,25,14,15,429063,06,11,16,17,19,20,23,27,28,30,42,47,59,65,67,68,70,71,72,76,1
01,22,25,14,10,429062,03,05,11,13,19,22,24,26,33,34,36,42,48,49,50,51,63,68,69,78,3
01,22,25,14,05,429061,01,03,04,05,07,09,13,15,18,22,27,29,43,47,53,64,66,69,72,76,1
01,22,25,14,00,429060,04,06,07,09,12,15,18,23,33,34,36,39,41,52,53,57,64,69,75,78,1
01,22,25,13,55,429059,02,05,11,19,26,28,29,30,32,35,41,45,46,47,51,61,67,68,70,72,1
01,22,25,13,50,429058,06,08,09,10,15,18,21,28,32,33,34,35,40,43,48,65,75,76,77,78,1
01,22,25,13,45,429057,01,02,07,10,13,22,24,26,32,40,42,49,50,52,55,60,70,76,79,80,3
01,22,25,13,40,429056,01,05,07,08,15,17,18,20,22,29,30,39,48,50,51,60,62,70,74,75,1
01,22,25,13,35,429055,05,10,13,18,36,43,48,49,50,52,54,60,62,63,66,67,68,75,77,80,1
01,22,25,13,30,429054,02,10,13,16,18,21,24,27,29,37,39,51,58,59,61,62,64,68,74,78,3
01,22,25,13,25,429053,01,02,03,10,15,19,21,24,30,34,35,44,50,51,57,63,75,77,78,80,1
01,22,25,13,20,429052,02,07,08,13,14,18,27,30,31,35,51,53,54,56,60,62,66,68,78,80,3
01,22,25,13,15,429051,04,10,12,14,21,23,26,28,39,40,48,51,55,57,64,73,74,76,78,79,1
01,22,25,13,10,429050,02,05,07,09,12,13,18,19,20,23,27,29,31,32,47,49,56,59,63,74,1
01,22,25,13,05,429049,02,04,07,11,13,16,18,22,24,35,38,40,41,55,58,60,64,65,76,77,3
01,22,25,13,00,429048,02,10,13,20,28,30,34,37,39,52,53,60,61,63,65,67,72,77,79,80,1
01,22,25,12,55,429047,01,04,09,10,18,19,23,25,26,31,34,41,48,51,59,63,73,74,75,78,1
01,22,25,12,50,429046,06,09,10,12,14,19,21,24,29,39,49,50,56,57,64,69,72,73,76,79,1
01,22,25,12,45,429045,04,10,15,18,19,22,31,32,36,39,42,48,49,50,53,54,56,61,62,79,1
01,22,25,12,40,429044,03,06,07,12,13,14,16,18,23,31,34,36,45,47,48,52,53,61,64,66,3
01,22,25,12,35,429043,05,09,15,22,26,28,30,32,33,44,48,50,57,59,64,65,68,70,74,78,1
01,22,25,12,30,429042,02,03,07,09,19,23,27,28,30,32,33,50,51,59,61,68,69,70,71,80,3
01,22,25,12,25,429041,01,03,09,15,16,24,26,27,28,34,38,47,55,56,65,67,70,72,73,76,1
01,22,25,12,20,429040,02,03,04,09,15,19,21,25,33,35,36,42,44,47,49,57,61,71,72,73,1
01,22,25,12,15,429039,01,02,05,07,08,16,21,27,31,33,35,36,48,53,55,58,60,68,77,80,4
01,22,25,12,10,429038,02,06,11,15,19,25,30,33,40,44,54,59,60,62,66,67,69,71,75,79,1
01,22,25,12,05,429037,01,05,16,17,21,22,23,25,26,33,35,40,54,59,61,62,63,64,76,77,5
01,22,25,12,00,429036,02,08,11,15,20,22,28,34,40,42,43,51,54,56,58,65,66,68,73,79,1
01,22,25,11,55,429035,12,13,14,17,22,27,30,34,35,36,37,46,48,50,57,58,62,67,73,79,1
01,22,25,11,50,429034,01,09,12,16,19,20,21,36,45,47,50,52,57,61,63,65,67,68,70,78,4
01,22,25,11,45,429033,03,04,11,13,16,21,22,25,29,30,42,43,45,47,54,58,66,67,68,76,1
01,22,25,11,40,429032,04,05,10,14,16,19,20,31,32,33,37,54,60,61,62,64,70,73,74,79,3
01,22,25,11,35,429031,04,05,08,10,11,19,20,21,25,28,32,34,39,45,50,53,55,56,77,78,4
01,22,25,11,30,429030,05,07,09,17,23,24,30,34,40,41,44,46,49,59,62,63,74,75,76,80,5
01,22,25,11,25,429029,05,10,11,18,22,23,32,42,43,45,51,54,55,56,57,61,62,63,69,74,3
01,22,25,11,20,429028,01,07,08,12,18,22,26,31,32,40,50,54,58,59,62,64,65,74,76,77,4
01,22,25,11,15,429027,01,05,07,08,09,16,19,30,35,40,43,49,50,52,59,65,68,72,73,77,3
01,22,25,11,10,429026,03,06,11,12,16,29,31,35,43,48,51,53,54,62,66,67,69,76,77,78,1
01,22,25,11,05,429025,12,13,14,16,30,33,37,42,45,48,53,55,56,59,60,64,68,71,74,80,1
01,22,25,1,00,429024,02,05,08,10,23,38,39,40,42,45,54,58,59,62,65,70,72,73,77,80,3
01,22,25,0,55,429023,01,07,12,18,24,26,27,29,31,32,41,45,46,47,52,56,57,60,66,71,1
01,22,25,0,50,429022,03,04,05,09,19,20,22,24,25,26,32,35,48,51,52,55,60,65,72,74,3
01,22,25,0,45,429021,07,09,10,30,31,35,36,42,43,47,50,51,52,59,61,65,66,67,70,80,3
01,22,25,0,40,429020,06,09,12,16,22,25,26,28,31,37,49,52,53,58,63,68,73,77,78,80,1
01,22,25,0,35,429019,07,15,18,19,20,24,27,29,30,35,40,45,60,61,66,70,71,73,75,78,1
01,22,25,0,30,429018,04,07,13,14,16,17,18,27,28,30,34,37,40,41,45,58,62,70,71,74,1
01,22,25,0,25,429017,08,13,17,18,19,20,21,24,26,27,29,31,32,58,64,68,69,71,76,79,1
01,22,25,0,20,429016,06,07,09,23,30,32,34,35,37,39,41,42,47,48,60,61,62,67,70,79,1
01,22,25,0,15,429015,06,07,08,18,27,31,33,36,39,40,43,44,45,47,53,58,59,68,75,78,1
01,22,25,0,10,429014,03,06,14,15,23,36,41,49,50,51,52,53,55,60,61,62,70,71,79,80,4
01,22,25,0,05,429013,04,07,13,14,23,24,27,30,40,43,45,51,52,55,65,66,70,72,76,79,1
01,22,25,0,00,429012,05,09,10,12,13,14,20,26,27,29,32,34,38,43,44,59,60,72,75,78,1
01,21,25,23,55,429011,01,02,04,07,10,17,26,30,39,40,45,52,54,60,61,63,64,68,70,74,4
01,21,25,23,50,429010,05,07,11,12,19,22,27,32,34,38,39,43,45,51,53,54,55,59,66,72,1
01,21,25,23,45,429009,03,07,09,11,17,20,32,35,40,41,42,45,46,51,54,55,56,57,66,76,4
01,21,25,23,40,429008,02,07,08,13,15,20,24,27,28,37,42,43,45,56,60,67,68,73,77,78,4
01,21,25,23,35,429007,06,08,10,20,29,32,37,38,40,46,50,52,55,56,67,68,73,76,78,79,1
01,21,25,23,30,429006,05,12,13,26,28,37,38,42,46,47,48,49,57,60,61,66,69,72,77,80,3
01,21,25,23,25,429005,07,14,15,19,20,25,27,34,37,39,44,49,55,58,63,70,72,73,76,77,1
01,21,25,23,20,429004,02,05,08,13,14,18,24,28,32,36,39,40,45,47,50,61,62,68,71,78,1
01,21,25,23,15,429003,01,11,13,14,15,16,19,30,31,42,44,45,50,54,55,57,66,68,74,77,3
01,21,25,23,10,429002,02,07,15,17,21,30,37,38,39,43,44,46,50,51,58,62,64,67,70,80,3
01,21,25,23,05,429001,03,04,05,07,08,10,12,18,26,27,41,42,45,49,54,59,61,67,68,75,1
01,21,25,23,00,429000,06,08,14,15,19,22,23,25,27,31,35,38,39,51,52,64,67,74,77,80,4
01,21,25,22,55,428999,02,04,07,18,20,22,25,28,32,33,36,38,43,45,50,51,53,56,58,65,1
01,21,25,22,50,428998,06,07,11,12,14,17,18,21,26,29,32,41,42,45,50,51,55,56,74,79,3
01,21,25,22,45,428997,13,15,19,20,22,27,33,36,39,43,47,50,53,62,67,69,70,71,76,80,3
01,21,25,22,40,428996,01,06,15,16,22,24,31,33,34,35,41,49,56,58,67,68,69,72,76,80,1
01,21,25,22,35,428995,02,05,08,14,16,19,23,32,38,43,44,56,57,60,62,64,65,73,75,76,1
01,21,25,22,30,428994,07,12,15,17,22,29,32,34,44,45,48,49,50,51,54,57,63,64,67,72,1
01,21,25,22,25,428993,08,10,11,15,17,20,24,27,29,32,40,43,50,53,56,58,61,63,68,72,1
01,21,25,22,20,428992,04,08,11,13,14,16,19,23,29,32,33,38,39,43,48,49,60,65,71,76,4
01,21,25,22,15,428991,08,12,18,30,31,32,34,35,36,37,44,49,51,60,65,67,70,75,76,77,3
01,21,25,22,10,428990,02,05,14,18,19,20,26,30,32,35,45,47,48,50,51,53,55,62,77,78,3
01,21,25,22,05,428989,04,05,15,18,21,22,23,25,28,31,35,38,42,50,51,56,65,71,78,79,1
01,21,25,22,00,428988,01,03,17,21,23,25,27,30,35,37,40,41,46,59,60,62,66,75,76,77,1
01,21,25,21,55,428987,08,09,13,14,16,19,21,26,33,36,37,42,43,47,50,53,62,63,64,70,1
01,21,25,21,50,428986,04,05,09,10,11,14,15,25,26,31,34,36,40,55,61,62,69,72,79,80,1
01,21,25,21,45,428985,12,13,18,22,28,33,37,40,43,45,47,56,63,64,66,67,70,73,76,78,3
01,21,25,21,40,428984,10,15,20,28,35,37,38,39,40,44,45,53,55,58,60,61,62,65,72,79,1
01,21,25,21,35,428983,08,12,18,20,31,32,34,41,48,53,54,55,57,60,63,66,67,68,76,78,3
01,21,25,21,30,428982,01,07,08,09,10,12,14,17,18,19,22,27,31,33,40,48,53,57,68,80,3
01,21,25,21,25,428981,03,05,06,07,12,21,27,29,38,39,40,44,56,58,59,65,72,75,77,79,4
01,21,25,21,20,428980,02,03,07,11,15,24,30,31,34,40,45,47,51,57,60,62,65,77,78,80,1
01,21,25,21,15,428979,15,17,18,19,24,29,34,35,36,37,48,53,54,55,58,65,72,74,78,80,1
01,21,25,21,10,428978,01,10,19,28,30,32,33,35,38,39,41,46,48,50,51,54,58,62,63,76,1
01,21,25,21,05,428977,03,13,23,24,31,32,33,34,36,38,41,43,46,50,59,61,70,72,74,77,3
01,21,25,21,00,428976,02,06,12,18,20,22,29,32,38,39,46,48,51,52,53,57,64,72,78,80,3
01,21,25,20,55,428975,01,04,06,07,13,14,15,16,21,25,37,40,43,47,48,50,52,56,61,80,3
01,21,25,20,50,428974,02,15,24,27,28,30,33,43,47,50,52,54,57,61,64,65,69,70,71,78,1
01,21,25,20,45,428973,07,09,11,15,25,27,37,39,44,49,52,56,57,58,60,63,66,72,73,74,3
01,21,25,20,40,428972,01,05,09,10,16,22,28,29,37,38,43,49,52,55,61,62,65,66,71,80,3
01,21,25,20,35,428971,10,13,14,17,25,26,29,32,39,40,42,49,54,65,69,74,75,76,77,80,3
01,21,25,20,30,428970,03,14,15,20,23,27,30,34,46,47,48,49,53,56,65,67,72,76,77,78,1
01,21,25,20,25,428969,06,07,11,12,19,20,21,24,26,33,35,43,47,49,53,57,58,62,70,73,1
01,21,25,20,20,428968,01,05,11,17,22,35,38,39,43,45,48,51,52,54,58,61,64,67,69,70,1
01,21,25,20,15,428967,01,06,07,17,23,26,30,32,39,46,48,52,57,60,61,70,71,74,78,80,1
01,21,25,20,10,428966,02,10,11,14,19,22,25,39,40,41,45,46,52,55,72,73,75,76,77,78,3
01,21,25,20,05,428965,03,13,14,16,22,25,27,28,29,30,32,35,36,43,47,48,55,57,59,68,3
01,21,25,20,00,428964,01,05,07,11,19,20,21,24,28,30,34,39,41,45,46,47,50,52,71,76,1
01,21,25,19,55,428963,02,03,04,09,22,26,27,34,37,39,40,41,42,44,49,66,68,70,74,77,1
01,21,25,19,50,428962,13,14,15,17,27,37,40,46,47,50,53,57,60,61,63,64,65,71,74,79,3
01,21,25,19,45,428961,03,04,05,06,10,24,27,28,41,44,48,50,53,60,63,68,72,75,77,80,1
01,21,25,19,40,428960,03,06,18,23,24,26,37,40,42,44,45,51,60,62,66,68,70,74,77,79,3
01,21,25,19,35,428959,08,21,22,24,36,37,39,40,43,46,47,51,55,56,59,63,71,73,76,78,4
01,21,25,19,30,428958,06,07,10,11,12,18,31,33,34,38,43,49,52,54,60,61,63,68,75,77,1
01,21,25,19,25,428957,01,03,04,14,18,19,30,32,34,35,39,40,48,50,52,56,63,65,73,78,1
01,21,25,19,20,428956,01,03,10,12,20,21,23,26,29,32,43,46,53,58,60,65,66,72,75,79,1
01,21,25,19,15,428955,02,08,12,13,17,30,34,40,42,43,44,48,50,52,58,61,64,66,70,73,1
01,21,25,19,10,428954,02,05,06,10,11,16,17,19,28,32,34,49,54,58,61,66,67,68,71,73,1
01,21,25,19,05,428953,03,04,14,17,23,25,30,34,36,37,39,40,44,46,51,54,59,61,67,78,1
01,21,25,19,00,428952,01,02,09,10,12,17,20,27,32,33,39,49,52,53,55,58,65,68,69,76,4
01,21,25,18,55,428951,03,04,05,10,12,15,24,30,31,33,48,59,60,62,69,71,72,74,76,80,1
01,21,25,18,50,428950,02,03,05,08,17,25,26,28,29,33,38,43,46,50,54,56,66,69,71,76,3
01,21,25,18,45,428949,02,03,06,11,13,16,17,22,33,36,37,38,43,46,49,67,69,70,76,77,3
01,21,25,18,40,428948,01,07,11,13,17,18,21,22,26,27,38,44,48,59,60,62,64,65,71,73,3
01,21,25,18,35,428947,01,03,08,17,25,26,27,36,39,43,53,55,56,59,61,62,63,68,76,80,1
01,21,25,18,30,428946,01,13,15,18,19,30,35,43,44,46,48,54,58,60,62,64,68,70,72,74,1
01,21,25,18,25,428945,11,14,18,20,22,23,25,27,35,36,42,45,53,54,58,63,70,71,73,79,1
01,21,25,18,20,428944,02,03,05,07,11,20,28,30,35,43,51,53,55,59,64,65,67,75,77,79,3
01,21,25,18,15,428943,07,09,10,15,24,30,35,41,46,48,56,57,59,60,68,70,74,76,77,80,3
01,21,25,18,10,428942,03,04,06,07,09,14,16,29,30,32,36,38,44,52,63,68,74,75,76,79,1
01,21,25,18,05,428941,06,07,09,15,18,20,24,27,28,33,37,41,43,63,66,68,69,70,73,77,1
01,21,25,18,00,428940,05,10,21,22,27,33,36,40,41,42,50,58,59,63,64,66,74,77,79,80,1
01,21,25,17,55,428939,04,05,06,09,11,22,24,26,30,31,36,40,44,45,54,57,58,59,68,78,1
01,21,25,17,50,428938,02,03,07,08,11,22,23,24,28,29,48,49,61,62,65,71,74,77,79,80,1
01,21,25,17,45,428937,04,11,13,21,22,24,30,32,34,35,38,39,55,56,61,64,66,78,79,80,3
01,21,25,17,40,428936,04,06,08,10,19,20,21,29,31,35,40,43,45,48,51,55,58,66,70,80,1
01,21,25,17,35,428935,07,10,13,14,16,20,22,23,24,28,29,36,40,43,44,45,52,54,67,77,1
01,21,25,17,30,428934,13,21,23,24,27,30,32,33,35,40,41,43,44,47,51,56,61,68,78,79,1
01,21,25,17,25,428933,03,04,05,06,09,12,16,23,25,37,38,39,42,44,45,52,54,66,74,78,5
01,21,25,17,20,428932,15,17,18,22,26,27,31,32,34,39,51,54,55,58,62,66,67,69,72,76,1
01,21,25,17,15,428931,01,04,10,11,20,27,28,31,33,34,38,39,45,46,48,52,65,67,71,75,3
01,21,25,17,10,428930,10,15,16,31,32,34,40,42,44,45,49,52,57,58,62,63,65,75,76,77,1
01,21,25,17,05,428929,04,06,08,09,13,18,19,24,28,30,33,36,45,51,54,60,65,66,76,80,4
01,21,25,17,00,428928,08,09,12,13,15,16,20,24,27,28,33,40,46,53,60,65,67,68,70,78,4
01,21,25,16,55,428927,04,05,07,08,14,18,25,28,33,34,36,37,48,52,53,55,56,62,68,79,3
01,21,25,16,50,428926,07,12,19,25,33,41,43,44,45,46,48,55,57,58,62,67,72,73,75,80,3
01,21,25,16,45,428925,01,13,15,18,20,27,30,37,38,39,43,47,51,66,71,72,75,76,77,80,1
01,21,25,16,40,428924,02,05,07,13,16,23,32,34,41,45,50,51,52,55,56,60,63,76,77,80,1
01,21,25,16,35,428923,01,05,09,10,16,23,27,33,35,36,40,46,49,50,51,53,56,63,72,77,1
01,21,25,16,30,428922,01,04,07,13,16,18,27,33,38,57,59,62,63,64,65,68,70,75,77,78,1
01,21,25,16,25,428921,01,17,22,24,25,32,33,34,36,44,55,57,58,59,63,67,73,74,78,79,1
01,21,25,16,20,428920,05,07,12,15,16,23,30,35,38,49,56,57,59,60,64,69,71,74,75,79,3
01,21,25,16,15,428919,03,07,12,14,15,18,23,29,30,33,39,44,45,49,51,64,69,73,74,77,1
01,21,25,16,10,428918,01,04,07,10,13,22,23,24,25,28,29,34,36,39,47,57,69,71,76,77,3
01,21,25,16,05,428917,03,05,09,11,15,18,19,24,36,39,47,52,55,56,57,63,64,68,70,76,1
01,21,25,16,00,428916,07,14,18,23,27,30,31,34,36,41,43,47,48,56,59,64,65,70,74,77,1
01,21,25,15,55,428915,01,05,07,11,23,26,27,28,39,42,48,49,50,59,62,63,68,69,75,79,3
01,21,25,15,50,428914,04,06,11,13,17,18,20,31,35,36,44,46,54,57,62,63,64,69,70,73,1
