d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20
05,11,14,20,21,29,36,37,40,56,58,59,60,62,63,66,74,76,78,79
01,02,15,19,25,26,31,32,35,38,46,50,52,58,64,71,73,75,77,79
03,04,06,07,10,22,25,28,30,36,38,39,47,50,51,52,55,57,63,80
03,04,05,13,31,38,47,48,50,54,62,63,68,69,70,72,73,75,78,79
05,06,12,13,14,21,22,26,32,35,38,41,45,52,54,59,61,63,65,72
05,07,10,14,15,23,28,30,35,37,39,50,56,57,63,69,71,72,73,78
04,05,10,17,20,22,24,25,27,30,32,35,39,42,51,57,60,66,69,78
03,04,11,13,24,28,29,30,38,45,47,48,56,65,68,70,72,73,74,79
01,04,07,09,14,15,16,20,31,32,41,44,49,53,56,59,64,68,72,74
03,05,07,14,16,20,23,24,26,28,34,40,42,56,60,64,66,67,68,77
01,04,07,12,15,16,18,19,26,28,31,33,37,51,56,57,64,66,74,76
02,04,06,15,18,19,24,29,36,42,46,52,53,55,56,59,60,61,71,76
07,11,12,17,18,22,26,40,43,50,51,53,55,56,58,59,69,73,75,79
03,08,09,15,21,22,31,36,39,40,42,45,47,48,64,67,69,75,78,80
01,04,07,11,19,21,22,39,40,42,52,53,54,62,65,67,69,70,76,80
02,06,07,21,23,25,30,32,36,40,46,50,61,62,69,71,72,73,75,79
02,10,12,17,27,33,35,36,40,43,50,52,55,56,61,62,67,69,79,80
01,05,10,12,13,15,25,28,31,42,44,45,46,47,49,56,60,63,73,80
02,09,10,12,13,20,23,25,28,37,43,51,55,60,61,62,63,64,71,77
05,08,24,26,28,29,33,40,41,49,54,56,60,66,70,71,75,76,77,80
01,02,12,26,27,30,31,36,38,39,40,48,50,56,58,59,64,72,75,79
05,08,11,19,26,42,47,48,49,52,61,65,68,70,71,73,74,75,77,79
01,07,13,22,25,29,36,37,38,39,42,48,61,63,68,70,71,76,77,79
03,05,07,10,11,27,28,30,31,33,37,39,43,46,55,58,67,73,75,79
03,05,06,08,10,21,23,26,27,37,50,53,59,62,64,66,68,75,76,78
03,05,15,16,18,19,25,31,36,47,49,56,57,58,61,63,72,74,77,79
02,03,09,14,18,21,22,27,30,32,33,35,37,38,40,56,66,67,72,76
01,04,05,10,12,14,16,17,31,32,40,42,51,62,72,73,76,77,78,79
03,05,15,16,17,19,24,25,38,39,44,51,53,56,59,60,68,73,76,77
04,06,09,10,18,19,21,22,29,31,44,50,52,56,61,63,64,71,78,80
05,09,16,21,23,26,31,34,38,41,42,45,48,49,51,65,66,67,74,79
05,10,14,19,20,27,28,29,36,49,53,56,57,62,64,67,69,70,75,77
13,17,18,19,28,32,35,39,42,48,52,59,61,62,65,72,73,74,78,79
01,03,05,12,15,16,18,20,27,34,36,41,45,46,59,65,69,71,78,80
02,04,06,11,12,16,21,27,29,39,49,51,55,56,57,67,70,72,76,78
02,06,11,17,18,19,24,27,30,38,41,51,52,61,62,66,68,69,70,79
19,23,24,27,37,39,41,44,47,50,52,55,57,59,61,64,68,69,78,79
05,08,11,18,24,26,29,33,36,40,46,48,51,52,54,63,64,65,73,77
07,10,12,13,16,20,23,39,43,46,47,57,60,62,64,67,74,75,78,80
01,02,04,10,14,15,18,19,26,30,31,46,51,53,56,57,58,66,78,79
10,13,20,24,25,30,32,35,37,38,40,42,46,53,54,57,63,64,66,71
04,05,11,13,22,23,26,27,32,40,46,49,51,54,58,62,67,68,75,78
02,10,13,17,20,24,25,27,34,39,48,49,52,59,60,61,62,67,71,79
07,08,10,13,27,28,35,36,39,41,43,49,54,58,62,64,66,69,74,76
02,03,10,16,17,18,22,24,29,35,41,42,50,51,56,59,69,76,77,79
04,06,10,16,17,22,24,34,36,38,44,45,48,52,53,66,73,74,76,78
02,06,08,09,11,17,20,22,23,26,33,35,46,48,51,55,56,59,61,73
13,15,18,23,27,31,35,36,43,44,49,50,55,58,62,66,68,70,75,78
01,07,08,16,17,20,29,30,33,36,42,45,48,50,54,60,63,69,78,79
05,10,18,19,20,31,32,33,34,40,41,42,44,47,51,57,60,64,65,79
04,10,12,14,15,16,20,24,26,34,37,42,47,48,49,52,56,63,68,72
03,06,07,09,20,21,25,35,37,41,45,47,48,49,52,72,76,77,78,79
06,14,15,21,30,32,33,41,42,49,53,56,59,64,69,73,75,76,78,80
05,09,11,17,24,25,29,30,31,33,37,38,41,44,55,65,66,69,70,79
05,07,08,12,20,22,26,30,37,40,45,49,57,59,61,65,66,68,71,75
