"d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20"
"1,4,7,16,21,23,26,28,29,30,39,48,62,66,68,69,70,73,77,80"
"3,5,6,10,17,18,19,20,22,23,31,35,37,43,50,52,68,70,75,78"
"3,12,14,16,22,25,28,29,37,39,47,50,58,60,63,66,72,73,75,80"
"1,5,6,7,10,14,23,26,27,28,32,38,43,44,46,50,54,55,56,74"
"2,6,7,9,13,17,18,26,33,34,37,42,43,56,58,59,66,76,77,78"
"4,6,7,8,14,16,26,36,37,39,42,45,58,59,60,64,66,68,69,78"
"6,17,19,22,23,30,32,37,40,41,42,51,52,55,56,57,59,65,69,73"
"6,12,13,16,21,22,31,35,37,41,44,47,48,55,58,62,63,70,76,77"
"4,9,20,21,22,24,28,32,37,40,48,50,56,59,65,66,67,72,74,77"
"4,6,10,15,21,23,28,29,34,35,40,45,54,57,58,64,70,75,77,78"
"8,11,12,16,21,22,23,24,32,34,38,41,43,45,47,50,51,55,59,75"
"5,14,19,22,25,27,31,33,34,44,45,48,52,58,60,62,68,72,75,78"
"3,4,5,6,10,23,24,31,38,39,42,56,64,66,67,74,75,76,78,80"
"3,11,14,15,16,26,28,36,38,43,48,53,56,64,65,66,67,74,75,79"
"2,6,8,12,22,23,27,29,30,34,49,50,55,56,58,60,70,76,79,80"
"4,6,10,11,15,17,19,24,28,30,35,42,46,53,54,63,65,67,69,76"
"3,6,7,11,14,15,19,28,33,50,53,56,57,63,64,67,68,70,71,79"
"10,12,13,14,15,16,17,18,20,30,36,42,47,53,54,58,65,71,78,79"
"6,10,11,12,34,39,41,42,43,44,46,48,51,52,55,61,69,72,74,78"
"6,8,11,12,15,20,21,29,30,33,35,38,46,54,57,61,64,72,76,78"
"5,7,9,12,17,22,23,27,32,37,45,46,48,53,63,65,66,68,71,77"
"14,16,17,18,25,27,44,46,52,55,56,60,61,62,64,68,69,75,78,80"
"4,12,22,25,31,38,39,40,41,44,53,57,58,63,66,71,73,76,77,79"
"5,6,7,8,9,12,13,23,41,43,46,53,56,65,67,69,72,73,76,77"
"1,5,16,26,27,29,35,39,43,44,46,47,54,59,60,66,70,75,76,78"
"2,4,6,11,15,18,21,23,32,37,38,39,49,51,55,56,60,68,74,78"
"4,11,16,17,24,25,26,27,31,38,45,51,58,61,62,67,69,70,71,74"
"3,7,10,11,18,19,22,29,33,40,42,46,48,51,52,53,56,63,67,69"
"1,12,15,16,21,30,35,36,39,41,50,54,57,60,61,62,65,67,74,79"
"2,4,6,14,16,23,24,25,35,39,40,41,47,51,53,59,61,69,76,79"
"3,5,7,15,16,24,32,35,39,40,45,48,51,58,60,66,67,73,76,77"
"1,3,5,21,23,28,30,31,32,33,35,38,40,48,52,63,69,73,74,79"
"13,14,16,22,29,31,36,39,41,44,48,52,54,55,58,62,67,70,75,80"
"1,2,5,12,13,16,17,19,24,29,33,47,52,53,55,56,59,61,70,78"
"3,5,18,20,24,27,31,33,36,41,43,52,57,60,64,66,68,71,74,76"
"4,6,10,13,16,21,24,26,30,36,38,41,44,48,58,59,62,64,77,79"
"1,4,7,8,11,12,22,26,27,28,29,30,36,39,44,59,64,68,70,74"
"1,7,9,12,16,26,27,28,32,39,41,42,50,51,61,64,68,75,76,80"
"1,2,5,6,15,16,19,24,32,33,35,36,52,60,63,64,65,66,79,80"
"2,4,5,6,7,15,21,22,25,30,33,41,45,49,53,54,59,60,61,70"
"10,14,15,16,18,23,28,32,41,48,49,50,52,53,66,67,68,72,76,78"
"5,7,8,24,28,36,40,45,49,50,51,58,59,61,63,67,69,75,76,78"
"2,3,11,13,19,28,31,34,40,45,47,50,53,55,60,61,62,63,68,78"
"2,6,10,17,28,32,37,40,43,45,49,52,55,63,65,66,67,68,73,76"
"5,6,8,9,10,24,28,31,33,37,42,45,49,51,52,53,55,69,71,76"
"2,6,15,17,21,23,24,32,35,36,43,51,53,54,56,66,72,75,76,78"
"2,3,12,15,18,27,31,37,38,46,56,58,59,60,64,66,67,72,76,79"
