"d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20"
"1,5,10,12,22,23,35,37,39,40,49,56,57,61,63,66,71,78,79,80"
"1,5,6,14,18,22,23,31,40,42,43,45,49,53,59,61,69,72,77,79"
"2,8,9,10,11,17,21,23,39,44,46,53,55,57,59,66,67,69,77,78"
"1,9,11,17,19,29,31,39,40,47,61,64,66,70,71,74,75,77,78,79"
"4,5,12,13,14,15,16,18,22,33,34,40,52,53,57,58,64,68,77,79"
"4,13,22,25,27,31,32,33,34,35,36,38,43,46,58,62,65,66,69,74"
"10,12,17,22,26,28,36,38,40,41,43,50,52,58,60,69,71,72,74,76"
"1,2,7,9,10,11,17,19,22,33,35,39,45,50,69,71,73,74,78,80"
"2,3,4,13,17,18,29,38,45,46,53,55,56,59,63,67,71,75,78,80"
"6,11,14,15,16,22,25,30,34,36,48,52,54,55,57,58,65,67,73,77"
"1,5,8,15,17,18,22,23,25,27,35,36,40,41,43,47,60,63,65,75"
"5,7,9,13,15,18,20,23,42,43,44,50,51,53,55,63,67,71,76,80"
"1,3,4,7,16,19,22,31,32,38,41,44,46,47,64,73,75,78,79,80"
"4,5,9,16,20,24,27,30,32,33,35,36,42,44,45,53,56,61,67,69"
"9,18,20,22,24,25,29,30,33,37,44,53,56,59,60,66,67,70,73,77"
"5,6,11,15,27,28,34,36,39,45,48,49,54,58,60,64,71,75,77,79"
"2,7,11,17,21,35,41,42,44,45,48,51,55,56,62,64,71,74,77,79"
"2,5,14,18,19,20,30,31,40,43,56,57,64,65,66,67,71,73,75,79"
"7,8,13,14,19,25,26,28,32,35,37,38,42,54,59,60,63,64,77,79"
"9,10,11,13,18,19,22,24,26,30,31,34,37,48,63,64,65,66,68,77"
"12,15,17,18,22,26,29,39,40,41,42,45,51,54,55,70,71,72,74,78"
"1,2,6,7,8,10,27,28,39,42,45,47,49,59,62,64,65,66,70,72"
"4,5,9,10,16,18,26,30,35,36,39,43,45,48,54,59,61,69,70,79"
"3,5,7,8,20,24,26,28,30,36,43,54,57,58,60,66,68,73,77,80"
"5,7,16,21,28,29,38,40,44,46,47,54,55,56,58,64,67,69,75,78"
"2,4,8,12,30,32,35,41,44,47,49,54,56,58,59,61,62,66,73,79"
"4,8,9,11,13,15,17,22,32,37,46,54,57,62,64,74,77,78,79,80"
"4,12,13,16,17,20,24,25,26,27,29,32,35,43,57,60,66,67,69,71"
"3,4,5,9,13,19,20,27,41,42,44,47,53,59,65,69,71,72,73,78"
"1,2,7,12,14,21,30,35,42,43,46,49,50,51,54,60,69,70,71,79"
"1,3,7,8,14,15,24,26,27,28,30,32,37,40,43,45,47,49,62,65"
"1,6,12,18,34,35,36,39,42,57,59,60,64,65,66,67,69,72,73,79"
"1,5,7,13,19,28,37,45,49,50,52,54,56,57,58,59,62,66,69,70"
"2,6,15,19,23,30,31,34,37,38,41,45,47,53,54,56,63,67,76,77"
"11,12,13,15,16,19,23,31,38,43,47,48,49,50,65,66,68,69,77,80"
"2,5,7,9,10,11,16,28,34,38,42,44,48,49,59,62,68,69,72,80"
"3,4,10,16,21,25,31,32,33,34,39,45,50,51,55,62,64,68,69,78"
"6,7,8,11,20,21,24,26,27,29,37,43,45,49,58,59,60,67,73,75"
"1,5,8,11,12,19,20,28,33,39,47,50,54,55,61,65,73,74,76,77"
"5,7,28,30,32,33,37,38,41,44,45,49,50,52,59,65,67,69,73,74"
"1,18,20,21,23,25,27,30,32,35,38,41,44,63,64,65,71,73,75,78"
