d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20
1,8,9,12,23,25,32,36,38,41,42,45,46,50,54,59,60,67,71,75
1,3,16,24,26,27,30,33,38,45,48,49,51,53,56,68,70,72,73,75
2,4,5,7,12,23,26,41,42,52,54,57,64,67,69,71,75,77,78,80
1,2,7,11,13,15,20,22,28,30,31,36,37,40,53,56,67,72,76,80
2,8,9,19,21,25,28,29,31,32,43,45,46,51,54,59,62,68,74,76
1,7,13,19,20,22,28,30,31,39,49,50,60,63,65,69,70,73,76,80
1,6,7,15,16,17,19,21,27,47,53,54,55,57,59,61,64,69,74,76
5,6,13,14,15,22,28,35,36,38,46,51,53,65,66,70,71,74,75,79
6,12,14,26,30,31,32,35,36,47,48,49,52,55,59,60,68,70,74,80
9,12,24,27,34,37,38,40,42,51,52,54,60,61,63,70,72,73,78,79
1,2,9,10,16,21,24,26,31,32,41,58,59,62,70,71,72,73,77,78
6,8,9,10,11,14,15,20,25,29,33,38,45,56,62,69,71,72,74,78
6,10,19,21,32,35,37,40,44,45,48,56,57,58,60,61,64,65,73,75
1,3,6,11,13,21,22,27,28,31,33,39,56,57,61,66,72,75,77,80
9,10,11,17,21,28,30,32,35,36,42,43,45,48,53,60,65,67,69,78
12,13,15,16,17,18,24,26,34,39,40,41,47,56,57,62,65,74,76,80
15,17,20,22,25,27,32,34,37,43,45,48,50,51,52,58,66,70,75,77
7,18,22,25,31,33,34,42,44,49,50,51,53,60,65,68,74,76,78,79
1,6,10,11,14,18,28,29,31,33,49,59,60,61,63,66,69,70,73,77
4,6,10,11,13,17,19,26,30,33,39,44,54,59,60,63,65,72,73,79
2,3,4,13,26,29,32,33,34,37,49,50,51,53,57,59,62,66,71,79
12,15,18,19,20,27,28,31,36,40,43,49,50,52,56,61,65,66,69,80
1,4,6,10,14,18,19,23,24,29,30,36,40,41,63,66,68,73,78,79
2,6,15,20,23,25,26,28,31,41,44,45,52,54,56,71,73,74,75,78
2,14,19,28,29,43,44,46,48,49,54,59,60,61,62,64,65,72,73,80
1,3,7,11,13,21,26,29,31,33,40,43,44,51,65,67,69,70,74,76
2,4,8,9,11,14,22,24,27,35,37,38,39,49,58,63,67,71,72,75
14,20,26,27,29,30,34,36,40,41,47,49,56,58,62,71,72,76,77,79
2,6,11,17,26,28,30,40,42,45,48,50,56,59,60,61,63,65,72,77
2,6,9,10,18,23,24,28,36,37,38,42,44,46,53,57,61,67,69,80
5,9,15,16,17,23,27,29,30,36,40,44,56,57,58,66,68,69,79,80
3,7,9,16,20,25,29,37,40,45,46,50,55,60,64,69,71,72,74,77
1,2,6,12,13,27,31,32,34,39,41,43,46,57,58,60,62,65,67,80
3,7,9,14,15,23,24,25,38,39,42,50,51,55,58,62,66,70,75,78
2,6,11,16,21,22,23,30,31,40,46,48,49,50,56,59,64,67,72,74
8,20,22,24,25,27,33,38,45,46,48,50,51,57,60,64,65,70,72,74
3,6,11,16,24,30,34,35,36,38,41,44,49,50,53,61,72,73,75,76
10,12,22,23,28,29,32,34,37,43,47,48,51,52,53,58,65,66,69,71
2,3,10,12,16,22,26,29,31,38,41,43,49,57,66,70,72,74,75,76
7,11,15,18,19,21,22,26,29,39,43,46,50,54,55,63,64,71,75,78
1,3,4,6,11,13,14,32,36,37,38,39,43,45,48,56,58,76,77,80
1,4,6,7,10,12,14,15,17,19,24,29,31,38,46,55,60,67,71,73
1,13,14,15,16,17,21,22,44,45,46,47,54,55,56,58,59,63,65,75
1,4,7,10,14,15,20,24,25,26,30,37,38,40,43,47,62,64,67,76
3,7,8,11,17,21,22,25,30,31,42,50,51,53,58,59,68,69,77,80
4,5,10,11,17,20,22,25,26,27,41,42,52,60,63,64,65,70,74,79
4,17,23,24,27,28,34,35,40,44,45,50,53,56,57,63,64,72,76,80
5,7,8,16,19,24,26,32,35,36,38,39,41,43,44,51,53,57,61,68
1,2,5,7,8,9,15,17,31,36,37,41,57,58,59,60,64,76,78,80
1,10,11,14,17,24,32,33,39,45,46,49,52,55,58,60,63,66,71,76
2,3,6,7,10,16,18,24,33,35,43,50,54,56,58,62,75,76,78,80
8,10,12,15,24,30,34,38,39,41,46,47,52,57,65,66,69,71,75,76
11,17,23,26,35,43,47,48,50,52,53,59,62,67,68,69,71,75,77,79
4,11,14,15,25,27,31,35,37,39,51,52,55,58,59,62,64,65,67,74
6,7,8,12,14,19,20,21,29,35,36,50,52,54,60,62,67,69,77,79
3,5,7,8,10,11,13,27,35,42,44,45,46,53,56,59,64,76,79,80
2,4,12,15,18,19,22,27,30,33,40,43,47,60,68,69,72,73,77,80
4,5,7,11,13,16,18,20,24,26,34,35,36,44,55,59,61,67,71,77
1,3,4,6,15,21,28,29,31,33,43,48,50,52,65,66,71,73,76,77
1,7,8,13,21,22,23,27,29,30,40,51,55,63,66,67,70,71,75,77
12,13,14,26,29,32,33,35,38,43,46,47,50,53,58,65,67,72,75,80
6,7,8,11,13,27,36,41,44,49,50,53,56,57,59,61,70,71,73,79
9,11,12,20,23,29,31,32,34,38,43,48,49,51,55,66,67,68,70,72
2,3,5,6,7,9,14,22,24,29,31,35,36,49,50,54,61,62,71,80
7,11,14,17,22,33,38,39,40,42,46,49,50,51,53,64,65,71,78,79
