d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20
6,11,14,16,17,19,21,25,29,32,33,45,48,54,61,62,68,69,76,79
5,7,10,14,16,17,21,35,36,54,57,58,60,64,66,68,71,76,77,79
1,2,16,19,26,28,33,34,36,42,51,53,55,61,63,67,68,71,77,80
1,4,6,7,8,11,24,30,36,43,45,46,55,59,60,63,65,70,71,76
2,5,10,11,15,19,34,37,39,41,48,49,54,59,60,61,63,71,75,76
2,8,14,17,20,22,26,27,33,37,43,51,60,61,64,70,76,78,79,80
7,8,11,15,26,29,31,33,38,41,45,46,48,52,53,59,63,72,75,80
16,19,20,24,27,32,39,48,49,52,53,57,60,66,72,73,75,77,78,79
6,8,15,16,18,20,21,31,32,33,34,41,42,45,51,60,66,67,72,75
2,10,12,14,18,21,22,40,43,44,49,59,60,61,62,68,73,74,79,80
1,10,13,14,17,18,29,35,38,39,41,50,57,59,61,65,71,72,74,75
2,4,5,6,14,16,18,20,33,34,37,41,42,50,56,63,65,67,72,77
1,9,14,16,18,19,21,24,28,36,40,45,48,51,55,60,62,70,78,79
2,5,17,20,23,29,30,38,40,45,46,52,53,58,62,63,69,75,78,80
4,10,13,16,17,25,27,29,30,34,38,40,44,49,53,57,62,76,78,80
7,19,22,25,26,27,29,30,33,42,46,56,59,60,67,68,75,77,78,80
1,10,19,21,26,29,34,35,37,39,40,41,42,49,53,65,68,71,72,73
13,14,16,17,20,25,26,30,36,37,38,42,43,44,46,52,54,62,74,75
1,9,10,11,21,25,30,37,40,42,50,52,55,56,59,62,64,73,74,79
2,4,9,13,19,27,31,34,35,37,44,47,50,57,58,64,69,71,77,79
2,3,7,8,22,23,24,29,30,31,33,35,39,42,50,51,59,66,71,73
1,2,8,12,14,18,20,28,47,55,56,57,63,68,72,76,77,78,79,80
2,6,7,10,11,22,30,35,38,40,43,59,66,68,69,70,71,73,76,80
12,15,19,25,32,34,38,41,45,46,48,54,56,61,66,67,69,72,75,78
3,4,15,19,20,22,24,25,32,34,36,39,43,44,47,67,69,75,77,80
8,9,12,14,21,22,26,29,41,43,44,49,50,51,61,64,65,67,71,79
4,8,10,15,17,18,19,30,31,32,33,35,39,43,47,49,54,65,73,78
3,5,6,12,17,29,31,34,43,45,46,51,54,64,65,69,70,72,74,79
2,10,17,22,23,24,30,31,32,37,41,53,57,60,67,68,70,72,74,80
9,14,16,18,25,26,34,45,46,48,52,53,56,58,60,61,74,75,76,79
4,11,14,16,19,24,26,31,34,40,44,45,56,58,59,62,65,74,75,78
7,10,26,34,38,39,42,44,53,55,56,57,58,61,64,69,70,73,78,79
14,18,21,24,25,26,34,36,37,45,46,48,59,60,64,66,71,73,78,79
4,5,13,18,21,26,29,30,37,41,42,43,44,49,53,55,56,59,68,71
5,7,8,10,12,13,16,17,18,20,22,28,31,44,55,56,57,69,76,79
12,14,19,22,23,25,28,29,40,42,45,48,51,60,63,69,72,75,78,79
1,3,5,8,10,13,15,18,19,23,27,39,43,44,45,51,59,64,73,80
1,3,6,7,17,23,27,29,44,47,48,52,54,55,64,66,69,72,74,79
