d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20
3,10,17,18,20,28,29,33,34,41,44,49,51,57,61,62,71,72,73,77
2,7,13,25,26,27,36,42,43,44,55,56,59,61,65,66,68,69,74,75
1,7,9,16,18,19,22,23,24,25,28,34,35,40,41,42,58,62,63,64
4,6,13,14,16,17,21,27,29,30,34,37,47,56,57,62,63,65,68,69
1,11,13,14,21,23,28,30,31,32,33,34,35,37,44,56,57,61,74,77
2,16,17,18,20,26,35,37,42,45,48,51,55,56,63,66,75,76,78,79
11,22,24,31,33,34,35,38,39,40,47,48,51,53,57,58,62,66,71,77
2,3,15,16,17,25,27,28,30,32,36,49,60,65,68,69,70,72,75,77
1,4,18,22,24,25,26,27,31,35,42,43,49,53,54,57,60,62,68,77
4,7,8,10,22,24,34,40,41,52,53,55,67,68,69,72,75,76,77,80
1,11,15,17,18,35,39,42,43,50,53,59,60,64,68,69,70,72,76,80
1,7,10,18,21,23,31,39,42,44,46,47,53,58,59,68,71,73,74,75
4,19,20,21,23,24,25,27,32,35,41,48,50,54,59,60,62,64,65,73
1,2,6,7,8,12,15,18,19,29,30,32,48,52,54,55,62,67,72,79
1,2,7,15,18,19,25,30,33,35,43,55,60,61,64,67,70,74,75,77
1,13,17,23,24,28,41,44,45,46,48,49,51,52,54,55,56,64,70,71
2,7,8,10,13,14,22,26,32,33,39,40,45,46,57,58,60,66,76,79
3,8,11,12,14,16,17,25,30,36,41,42,45,46,57,62,65,69,71,78
2,3,17,20,24,26,31,33,35,41,47,50,63,72,73,75,76,77,78,80
2,13,15,21,25,32,33,35,44,46,54,56,57,60,68,71,74,75,79,80
8,16,21,22,26,28,29,39,42,46,53,56,58,62,63,64,65,72,74,80
16,20,23,24,26,28,31,36,38,46,47,50,51,55,58,68,70,73,74,78
4,7,13,15,17,23,24,28,31,35,37,41,46,49,51,56,59,70,72,74
8,12,19,26,32,33,38,39,43,44,45,46,50,58,59,62,65,74,75,78
2,12,16,17,20,22,24,30,34,35,36,38,43,44,48,56,60,61,64,77
7,14,18,20,24,30,33,43,48,49,55,59,61,64,65,68,70,72,74,78
4,13,17,20,23,25,28,34,35,39,44,49,54,58,59,60,65,70,72,79
1,7,9,14,17,19,26,29,33,34,36,40,41,42,44,50,65,68,76,77
3,4,10,11,13,20,24,25,29,35,40,41,43,50,51,52,60,66,71,80
2,4,10,11,14,19,20,22,27,28,29,31,34,53,62,66,67,68,71,72
4,9,12,19,31,32,36,38,39,41,42,50,52,58,62,63,68,69,73,78
3,5,10,14,17,27,30,31,41,43,45,50,52,54,59,67,76,77,78,79
1,6,7,8,13,18,26,32,39,40,43,46,54,57,60,68,69,70,75,79
1,6,8,9,10,13,14,22,24,33,35,54,61,62,65,68,69,72,76,80
4,5,7,9,15,18,20,32,35,37,42,46,52,57,64,68,70,74,78,79
3,5,9,15,18,20,21,38,47,52,56,58,59,61,67,68,70,74,75,80
10,13,17,21,23,26,27,29,34,41,43,57,58,60,67,73,75,76,77,79
9,14,24,25,27,29,31,32,34,35,39,49,51,59,62,63,64,72,73,80
1,3,12,16,17,22,25,27,28,32,38,40,46,48,50,52,67,74,76,79
1,2,14,18,21,38,40,42,47,53,56,58,60,62,63,70,71,73,78,80
4,8,10,11,18,21,29,30,31,38,42,46,48,52,55,61,65,67,69,75
3,6,11,12,19,26,28,34,36,40,45,48,53,55,57,72,73,74,75,80
4,7,10,15,16,18,21,22,24,26,27,35,38,40,41,46,47,66,73,80
1,2,8,14,15,16,21,28,40,41,42,43,44,48,49,51,64,66,70,77
7,8,12,13,16,17,25,34,35,36,51,52,54,60,63,65,67,68,69,71
1,3,4,7,24,27,29,30,33,35,38,43,45,47,49,50,65,75,77,79
4,7,9,13,15,22,24,28,29,33,34,35,38,43,50,56,58,68,70,74
1,6,7,21,32,38,40,42,46,49,56,58,59,64,66,67,68,70,78,80
2,7,9,16,22,25,41,45,50,51,53,56,57,66,69,71,74,75,77,79
4,5,6,8,9,10,12,16,17,22,25,26,27,29,30,44,52,62,65,70
1,4,8,22,24,28,31,34,36,42,43,57,58,61,64,65,67,75,77,78
1,3,9,10,12,18,22,33,35,40,44,46,48,54,60,64,69,72,76,80
2,5,9,14,18,19,24,28,30,31,35,43,45,46,52,60,61,66,68,71
3,9,10,16,19,23,30,32,37,43,45,49,51,53,60,62,63,66,74,79
3,9,18,19,22,24,28,32,35,37,38,39,46,50,52,58,60,63,79,80
1,4,19,27,37,38,41,42,43,44,52,56,60,62,68,70,75,76,77,80
6,9,10,13,20,22,31,32,33,43,44,45,48,53,55,62,66,71,72,74
2,4,13,15,19,23,25,26,34,35,37,38,39,48,52,63,66,67,73,79
5,7,10,14,16,32,33,35,37,38,43,46,59,68,70,71,75,76,79,80
