d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d20
4,12,20,24,28,32,35,41,45,48,49,61,62,63,64,67,70,76,79,80
1,2,4,6,7,9,17,18,21,25,28,31,32,35,44,52,55,64,67,73
4,6,17,18,19,20,28,31,33,40,48,50,51,52,60,62,63,66,67,74
19,20,21,24,26,34,36,46,48,50,57,58,61,63,69,70,73,75,76,79
2,7,9,11,17,23,26,27,30,35,45,47,49,51,57,64,68,71,75,77
4,7,10,11,16,19,29,33,37,38,43,46,57,63,64,65,69,71,76,80
1,5,7,8,11,18,24,29,30,37,47,48,50,55,56,57,63,72,75,77
1,4,7,14,18,19,22,27,39,46,53,55,59,60,62,64,68,69,78,80
3,9,12,13,17,19,21,22,23,27,31,33,36,39,40,41,43,60,65,67
2,8,11,14,17,21,27,29,35,36,37,39,40,43,56,62,64,70,72,78
5,6,10,11,20,21,22,29,32,33,36,47,57,58,61,66,68,73,74,80
1,5,9,10,12,14,16,17,22,26,32,34,51,61,63,65,67,68,71,80
1,5,10,14,16,19,21,24,26,27,38,39,40,50,59,60,63,65,66,80
2,3,6,7,8,15,18,27,31,34,42,44,52,53,56,58,60,68,74,75
2,5,7,11,16,17,18,19,23,25,28,32,49,53,55,56,60,71,77,78
8,13,15,22,26,28,29,35,43,44,45,48,51,52,55,56,61,66,75,77
6,11,14,16,18,20,22,30,37,38,40,42,45,46,48,52,60,66,67,74
4,6,12,14,16,28,32,33,35,40,42,44,46,48,49,54,64,66,67,75
2,4,5,6,8,9,11,13,19,26,37,45,47,50,55,58,63,67,79,80
3,5,8,11,13,16,17,21,27,32,34,36,40,43,48,58,59,63,68,71
1,3,6,16,23,24,32,36,52,53,61,64,66,67,69,72,73,75,78,80
8,9,13,18,20,23,24,25,30,31,32,36,37,42,50,54,59,60,69,73
1,7,9,12,15,17,18,26,28,38,41,51,53,59,61,65,67,70,73,77
13,17,19,20,21,31,32,36,37,43,47,48,51,62,63,64,67,68,70,77
9,11,14,21,31,35,40,41,42,46,48,53,54,57,58,61,62,70,74,79
9,11,13,20,29,31,38,39,41,45,46,48,50,51,52,53,67,72,74,79
8,15,16,17,19,21,22,26,34,40,41,47,50,51,52,53,64,76,79,80
2,8,11,13,14,16,19,25,35,37,38,42,46,50,52,56,58,62,69,71
1,6,8,13,15,18,20,28,30,32,36,39,49,51,54,59,63,64,67,78
1,7,9,18,29,33,35,41,42,44,46,47,48,54,55,65,67,68,70,80
2,6,14,24,26,28,29,33,39,40,43,47,50,56,60,63,68,72,73,74
6,14,15,19,24,26,28,29,34,38,41,42,54,59,62,65,74,75,78,79
3,5,6,7,11,18,26,29,33,34,36,44,51,54,57,61,65,69,74,77
1,2,3,5,9,12,13,18,27,28,35,38,39,41,42,44,60,61,67,74
10,12,14,21,23,24,25,27,36,38,39,42,45,47,52,55,57,59,72,76
5,10,11,13,18,19,20,22,23,25,27,37,56,57,59,64,65,66,68,69
2,4,6,8,19,20,23,24,27,29,30,33,34,37,41,44,45,63,64,79
5,9,19,22,30,31,39,41,44,52,53,54,59,65,66,67,69,73,78,80
15,18,24,25,27,33,38,39,42,43,45,49,50,51,55,67,74,78,79,80
3,19,26,27,29,35,37,47,53,54,55,58,64,65,66,68,69,74,77,78
2,4,9,11,12,16,17,19,22,24,30,44,45,59,60,62,65,67,69,80
6,7,8,15,18,20,26,34,36,41,48,50,63,64,65,67,68,69,70,71
1,6,9,12,20,22,30,31,34,47,52,55,57,60,61,64,71,73,78,79
12,15,18,27,28,33,35,36,37,40,42,46,52,54,55,56,62,66,70,79
3,4,5,8,11,12,15,19,20,38,40,43,46,47,49,52,65,69,72,75
2,5,7,11,12,13,16,19,28,33,41,47,48,49,54,61,70,71,73,75
7,10,11,13,16,17,26,32,41,47,48,52,53,54,55,57,58,59,70,71
1,3,9,23,27,28,29,30,31,33,34,38,48,61,63,65,66,72,78,80
8,12,13,18,20,23,24,27,33,36,37,42,48,59,65,68,71,72,74,77
1,15,22,25,29,35,41,42,44,45,46,49,55,57,60,64,66,74,76,78
4,14,15,20,21,24,31,33,34,38,42,47,48,53,54,56,65,66,71,74
2,5,14,15,17,19,21,24,32,43,53,59,62,63,65,67,71,72,73,74
3,11,13,15,17,21,23,26,27,29,30,33,36,39,58,59,62,65,66,72
5,10,11,21,23,30,33,35,37,39,40,44,48,52,62,64,67,70,72,78
1,2,5,13,14,17,20,29,38,41,42,43,49,50,52,57,66,76,77,78
4,9,10,13,14,16,26,31,32,40,46,47,50,58,63,64,67,68,69,80
3,7,8,16,17,19,20,34,39,40,41,47,48,53,57,67,71,73,75,78
1,8,12,13,17,22,25,31,34,43,44,47,48,59,60,63,64,65,66,80
2,7,9,14,16,17,23,24,27,32,37,38,43,46,49,55,56,58,66,74
3,4,5,6,15,21,32,36,40,42,44,46,47,50,53,55,59,61,66,78
2,8,10,17,26,30,31,34,51,56,57,58,59,62,63,66,67,72,73,74
